source,identifier,isPartOf,title,description,date,relation,coverage,type,format,contributor,subject,Notas
ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001-D001.jpg,ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001-D001,C001-P001,Episodios de la guerra por la libertad. Barcelona. Atarazanas,"Lámina recortable en color número 1 de la serie ""Episodios de la guerra por la libertad"", publicada por la revista ""tiempo"" con asesoramiento de la Dra. Sheelagh M. Ellwood y maquetación de Grazziani. Representa el combate popular en las Atarazanas de Barcelona y la colocación del pendón del Regimiento Badajoz n.º 13 sobre la estatua de Cristóbal Colón durante las jornadas de julio de 1936.",[ca. 1978],PUBLICACIONES,Barcelona,Still Image,Lámina recortable sobre papel,"Sheelagh M. Ellwood, Grazziani","Guerra Civil Española, Atarazanas, Recortables, Memoria histórica, Ilustraciones",
ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001-D002.jpg,ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001-D002,C001-P001,MILICIAS DEL PUEBLO. Columna Durruti,Lámina troquelada recortable a color emitida por la CNT-FAI con valor de 10 céntimos dedicada a las Milicias del Pueblo y la Columna Durruti. Muestra a un miliciano anarquista armado sosteniendo la bandera rojinegra junto a un camión blindado en el frente.,[ca. 1936],PUBLICACIONES,,Still Image,Lámina recortable sobre papel impreso,CNT-FAI,"Columna Durruti, Milicias del Pueblo, CNT-FAI, Anarquismo, Propaganda de guerra",
ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001-D003.jpg,ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001-D003,C001-P001,[Sello de caucho con el lema El Refractor],"Sello de caucho manual grabado con la cabecera y lema ""El Refractor"". Útil de estampación para la marcación y difusión de material impreso del grupo y publicación libertaria El Refractor.",[ca. 1975-1980],PUBLICACIONES,,Physical Object,Sello de caucho con montura de madera,,"El Refractor, Sellos de caucho, Imprenta, Movimiento libertario, Objetos",Ubicacion física no definitiva
ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001-D004.jpg,ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001-D004,C001-P001,[Caja de cerillas del Sindicato Único de Industrias Químicas de la CNT-AIT],Caja de cerillas de cartón impreso en tinta negra expedida por el Sindicato Único de Industrias Químicas de Madrid (CNT-AIT) con un precio de 10 céntimos y conteniendo 40 cerillas. Presenta la simbología cenetista y los lemas colectivizadores del periodo bélico.,[ca. 1936-1939],PUBLICACIONES,,Physical Object,Caja de cerillas de cartón impreso,Sindicato Único de Industrias Químicas CNT-AIT,"Sindicato Único, Industrias Químicas, CNT-AIT, Colectivizaciones, Cerillas",Ubicacion física no definitiva
ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001-D005.jpg,ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001-D005,C001-P001,"El Anarquismo Individualista. Lo que es, puede y vale","Ejemplar del libro ""El Anarquismo Individualista. Lo que es, puede y vale"" de Émile Armand, traducido y prologado por M. Costa Iscar y reeditado por la editorial Pepitas de Calabaza en diciembre de 2003. Incluye ex-libris manuscrito y firmado por Rafael Zarza fechado en ""ENERO 2004"" con la anotación ""quadranarquismo"".",2003,PUBLICACIONES,Logroño,Text,Libro impreso sobre papel en encuadernación rústica,"Émile Armand, M. Costa Iscar, E. Muñiz, Julián Lacalle, Pepitas de Calabaza ed.","Anarquismo individualista, Émile Armand, Pepitas de Calabaza, Libros, Ex-libris",Ubicacion física no definitiva
ES-CEDCS-ZARZA-MILITANCIA-C001-P001-D006.jpg,ES-CEDCS-ZARZA-MILITANCIA-C001-P001-D006,C001-P001,Trabajadores: No borréis de vuestra memoria ni de vuestra conciencia estos epígrafes,"Pasquín mural de propaganda abstencionista impreso en papel durante la II República denunciando la represión gubernamental. Cita explícitamente los sucesos de Jeresa, Castilblanco, Cuenca del Llobregat, las deportaciones, las muertes atribuibles a Maura y Casares, y el fusilamiento de 16 campesinos en Casas Viejas.",[1933],MILITANCIA,,Text,Pasquín impreso sobre papel,,"Abstencionismo, Casas Viejas, Segunda República, Pasquines, Propaganda",Ubicacion física no definitiva
ES-CEDCS-ZARZA-MILITANCIA-C001-P001-D007.jpg,ES-CEDCS-ZARZA-MILITANCIA-C001-P001-D007,C001-P001,"[Guión del Secretario General del Partido Comunista de España, José Díaz]","Guión o pendón textil de seda roja en forma de cornetín con la hoz, el martillo y la estrella bordados en hilo amarillo. Incluye etiqueta de catalogación manuscrita que lo identifica como guión personal del Secretario General del Partido Comunista de España, José Díaz Ramos.",[ca. 1936-1942],MILITANCIA,,Physical Object,Guión de tela roja con bordados en hilo amarillo,José Díaz,"José Díaz, Partido Comunista de España, Banderines, Simbología política, Guerra Civil Española",Ubicacion física no definitiva
ES-CEDCS-ZARZA-MILITANCIA-C001-P001-D008.jpg,ES-CEDCS-ZARZA-MILITANCIA-C001-P001-D008,C001-P001,[Guión de mando militar del Servicio de Investigación Militar republicano],"Guión o estandarte militar de estructura acolchada confeccionado en tiras de seda con la tricolor republicana (rojo, amarillo, morado) y una estrella blanca de cinco puntas sobre fondo rosado. Contiene nota alfilerada con el título manuscrito ""Guión de Mando del S.I.M. - Rojo"".",[ca. 1937-1939],MILITANCIA,,Physical Object,Guión textil acolchado de seda tricolor republicana,Servicio de Investigación Militar,"Servicio de Investigación Militar, Banderas, Segunda República, Guiones militares, Guerra Civil Española",Ubicacion física no definitiva
ES-CEDCS-ZARZA-PUBLICACIONES-C002-P003-D009.jpg,ES-CEDCS-ZARZA-PUBLICACIONES-C002-P003-D009,C002-P003,[Correo electrónico de Koldo Artieda a Rafael Zarza sobre Alfonso Laurencic y las chekas de Barcelona],Correo electrónico impreso remitido por Koldo Artieda a Rafael Zarza solicitando información sobre el arquitecto y diseñador Alfonso Laurencic y la construcción de las chekas decorativas en Barcelona durante la Guerra Civil Española.,2010-05-27,PUBLICACIONES,,Text,Impresión sobre papel,Koldo Artieda,"Alfonso Laurencic, Chekas, Guerra Civil Española, Correspondencia",
ES-CEDCS-ZARZA-EXPOSICIONES-C004-P003-D010.jpg,ES-CEDCS-ZARZA-EXPOSICIONES-C004-P003-D010,C004-P003,CO.IN comunicado nº 2 .... ¡¡A GRAZALEMA!!! es el LEMA...,"Comunicado manuscrito a 2 folios de CO.IN (Coordinadora Insurrecta) firmado por ZRZ el 7 de julio de 2008 (día de San Fermín) proponiendo una concentración y exposición en Grazalema sobre el legado y cenizas de Quico Rivas (""Q.R.""), incluyendo lemas como ""HONOR A Q.R"" y ""QUICO ES NUESTRO!"".",2008-07-07,EXPOSICIONES,Grazalema,Text,Manuscrito a bolígrafo sobre papel (2 folios),"Eva Rivas, ZRZ, Quico Rivas, Alejandro RajKuter","CO.IN, Quico Rivas, Grazalema, Comunicados, Manuscritos",
